Family,Scientific name,Common name(s),Red List status,Population trend
VIPERIDAE,Protobothrops mangshanensis,"Mang Mountain Pit Viper, Mangshan Pit Viper, Mt. Mang Pit Viper",EN,decreasing
VIPERIDAE,Protobothrops sieversorum,Three Horned-scaled Pitviper,EN,unknown
VIPERIDAE,Protobothrops trungkhanhensis,Trungkhanh Pit Viper,EN,unknown
CALAMARIIDAE,Pseudorabdion montanum,Mountain Burrowing Snake,EN,decreasing
PSEUDOXYRHOPHIIDAE,Pseudoxyrhopus kely,,EN,decreasing
TYPHLOPIDAE,Ramphotyphlops suluensis,,EN,decreasing
DIPSADIDAE,Rhadinaea marcellae,Marcella's Graceful Brown Snake,EN,decreasing
DIPSADIDAE,Rhadinaea montana,Nuevo Leon Graceful Brown Snake,EN,decreasing
COLUBRIDAE,Tantilla flavilineata,Yellow-lined Centipede Snake,EN,stable
COLUBRIDAE,Tantilla oolitica,Rim Rock Crowned Snake,EN,decreasing
COLUBRIDAE,Tantilla shawi,Potosí Centipede Snake,EN,unknown
COLUBRIDAE,Telescopus hoogstraali,,EN,decreasing
NATRICIDAE,Thamnophis melanogaster,,EN,decreasing
NATRICIDAE,Thamnophis mendax,,EN,decreasing
PSEUDOXYRHOPHIIDAE,Thamnosophis martae,,EN,decreasing
TYPHLOPIDAE,Typhlops capitulatus,Haitian Pale-Lipped Blindsnake,EN,unknown
TYPHLOPIDAE,Typhlops hectus,Tiburon Peninsula Blindsnake,EN,unknown
TYPHLOPIDAE,Typhlops monensis,Mona Blind Snake,EN,
TYPHLOPIDAE,Typhlops schmutzi,Schmutz's Worm Snake,EN,unknown
TYPHLOPIDAE,Typhlops tasymicris,Grenada Bank Blindsnake,EN,unknown
VIPERIDAE,Vipera kaznakovi,"Caucasian (Caucasus) Viper, Caucasian Viper",EN,decreasing
VIPERIDAE,Vipera magnifica,Magnificent Viper,EN,decreasing
VIPERIDAE,Vipera pontica,Black Sea Viper,EN,unknown
VIPERIDAE,Viridovipera truongsonensis,Truong Son Pit Viper,EN,unknown
XENOSAURIDAE,Xenosaurus newmanorum,,EN,decreasing
XENOSAURIDAE,Xenosaurus platyceps,,EN,decreasing
XENODERMATIDAE,Achalinus werneri,Amami Takachiho Snake,VU,
NATRICIDAE,Adelophis copei,,VU,decreasing
NATRICIDAE,Amphiesma miyajimae,Maki's Keelback,VU,decreasing
VIPERIDAE,Atheris barbouri,"Barbour's Short-headed Viper, Uzungwe Mountain Bush Viper",VU,unknown
