Season Number,Episode Number,Episode Title,Pitch Number,Startup Name,Industry,Business Description,Company Website,Number of Presenters,Male Presenters,Female Presenters,Couple Presenters,Pitchers Average Age,Started in,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Original Ask Amount,Original Ask Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Valuation Offered,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ghazal Investment Amount,Ghazal Investment Equity,Ghazal Debt Amount,Number of sharks in deal
1,15,It's Time To Change,44,PNT,Technology,Robotics and Automation Solutions,https://pntsolutions.in/,2,2,,0,Young,2021,Mumbai,Maharashtra,,,,50,4,1250,1,1,25,25,25,100,0,0,,0,0,,0,0,,,,,0,0,,25,25,25,,,,1
1,15,It's Time To Change,45,Cocofit,Food,Coconut based beverage franchise,https://www.cocofit.in/,3,3,,0,Middle,2019,Hyderabad,Telangana,100,,95,0.00005,5,0,1,1,0.00005,5,,0,0,0,,0.000016,1.666,,0.000016,1.666,,,,,0.000016,1.666,,0,0,,,,,3
1,16,Winning The Sharks Trust,46,Bamboo India,Manufacturing,Bamboo Products,https://www.bambooindia.com/,2,1,1,1,Middle,2016,Pune,Maharashtra,,2000000,,80,4,2000,1,1,50,3.5,30,1429,25,1.75,15,0,0,,25,1.75,15,,,,0,0,,0,0,,,,,2
1,16,Winning The Sharks Trust,47,Flying Fur,Animal/Pets,Dog Hygiene,https://flyingfur.in/,3,2,1,0,Middle,,Delhi,Delhi,,,,75,7,1071,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,Winning The Sharks Trust,48,Beyond Water,Food,Liquid Water Enhancer,https://drinkbeyond.co.in/,2,1,1,0,Young,2020,Kolkata,West Bengal,,1000000,,75,4,1875,1,1,75,15,,500,0,0,,37.5,7.5,,0,0,,,,,37.5,7.5,,0,0,,,,,2
1,16,Winning The Sharks Trust,49,Let's Try,Food,Healthy Snacks,https://www.letstryfoods.com/,4,1,3,1,Middle,2017,Delhi,Delhi,,300000,55,45,2,2250,1,1,45,12,,375,0,0,,0,0,,22.5,6,,,,,22.5,6,,0,0,,,,,2
1,17,A Wave Of Startups,50,Find Your Kicks India,Beauty/Fashion,Sneaker Resale,https://findyourkicksindia.co/,3,3,,0,Young,2021,Ludhiana,Punjab,,350000,,50,10,500,1,1,50,25,,200,10,5,,10,5,,10,5,,,,,10,5,,10,5,,,,,5
1,17,A Wave Of Startups,51,Aas Vidyalaya,Education,EdTech App,https://www.aasvidyalaya.com/,2,1,1,1,Middle,2019,Mumbai,Maharashtra,150,,,150,3,5000,1,1,150,15,,1000,50,5,,50,5,,0,0,,,,,0,0,,50,5,,,,,3
1,17,A Wave Of Startups,52,Outbox,Services,Premium Surprise-Planning,https://www.outboxsurprises.com/,2,1,1,1,Young,2017,Kolkata,West Bengal,110,,,50,5,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,A Wave Of Startups,53,RoadBounce,Technology,Pothole Detection Software and Data,https://www.roadbounce.com/,1,1,,0,Middle,2016,Pune,Maharashtra,250,,,80,10,800,1,1,80,20,,400,0,0,,0,0,,0,0,,,,,0,0,,80,20,,,,,1
1,18,Investing In Profitable Businesses,54,Mommy's Kitchen,Food,Thin Crust Pizza,,3,2,1,,,,,,,450000,,90,3,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,Investing In Profitable Businesses,55,India Hemp and Co,Food,Hemp Food Products,,1,,1,0,,,,,,200000,,50,4,1250,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,Investing In Profitable Businesses,56,Otua,Electrical Vehicles,Electric Auto Vehicle Dandera,,2,2,,0,,,,,,,,100,1,10000,1,1,1,1,99,100,1,1,99,0,0,,0,0,,,,,0,0,,0,0,,,,,1
1,18,Investing In Profitable Businesses,57,Anthyesti,Services,Funeral Service the last rites,,1,,1,0,,,,,116,,50,50,2.5,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,Forming An Idea And Bagging A Deal,58,Ethik,Manufacturing,Leather-free Shoes,,2,2,,0,,,,,,100000,,15,5,300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,Forming An Idea And Bagging A Deal,59,WeSTOCK,Animal/Pets,Brainwired Livestock health monitoring AI pets ear tag,,2,2,,0,,,Thiruvananthapuram,Kerala,55,,,50,5,1000,1,1,60,10,,600,15,2.5,,15,2.5,,0,0,,,,,15,2.5,,15,2.5,,,,,4
1,19,Forming An Idea And Bagging A Deal,60,Keto India,Food,Customised Keto Diets for various medical issues,,1,1,,0,,,,,180,,,150,1.25,12000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,Forming An Idea And Bagging A Deal,61,Magic lock,Hardware,LPG Cylinder lock,,3,3,,0,,,,,,4000,,120,8,1500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,A Variety Of Ideas,62,The State Plate,Food,Delicacies,,2,1,1,,,,"Bangalore, Kolkata","Karnataka, West Bengal",,4000000,,65,2,3250,1,1,40,3,25,1333,0,0,,0,0,,0,0,,,,,0,0,,40,3,25,,,,1
1,20,A Variety Of Ideas,63,Bakarmax,Technology,Comics & Animation,,2,2,,0,,,,,35,,,35,5,700,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,A Variety Of Ideas,64,IN A CAN,Food,Can Cocktails,,2,2,,0,,,,,,,,50,2,2500,1,1,100,10,,1000,20,2,,20,2,,20,2,,,,,20,2,,20,2,,,,,5
1,21,Game-changing Ideas,65,Get-A-Whey,Food,Sugar-Free Icecream,,2,1,1,,,,,,,3000000,69,100,8,1250,1,1,100,15,,667,33.33,5,,,,,0,0,,33.33,5,,33.33,5,,0,0,,,,,3
1,21,Game-changing Ideas,66,Sid07 Designs,Hardware,Inventions,,1,1,,0,,,Jammu,Jammu & Kashmir,,100000,,47,10,470,1,1,25,75,22,33,0,0,,,,,0,0,,0,0,,0,0,,25,75,22,,,,1
1,21,Game-changing Ideas,67,The Quirky Naari,Beauty/Fashion,Customised Apparels,,1,,1,0,,2018,Mathura,Uttar Pradesh,,,,35,5,700,1,1,35,24,,146,0,0,,,,,17.5,12,,17.5,12,,0,0,,0,0,,,,,2
1,22,Turning Ideas Into Businesses,68,Hair Originals,Beauty/Fashion,Natural Hair Extensions,,3,3,,0,,2019,,,,5000000,62,60,2,3000,1,1,60,4,,1500,20,1.33,,,,,20,1.33,,0,0,,0,0,,20,1.33,,,,,3
1,22,Turning Ideas Into Businesses,69,Poo-de-Cologne,Beauty/Fashion,Toilet Spray with Essential Oils,,1,,1,0,,,Mumbai,Maharashtra,,75000,150,75,5,1500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,Turning Ideas Into Businesses,70,Moonshine,Food,Meads,,2,2,,0,,2018,Mumbai,Maharashtra,372,,70,80,0.5,16000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,Turning Ideas Into Businesses,71,Falhari,Food,Fresh Fruits salads,,3,3,,0,,,,,,100000,25,50,2,2500,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,Investing In Innovation,72,Namhya Foods,Food,Ayurvedic Enriched Food,,1,,1,0,,,Jammu,Jammu & Kashmir,,1600000,34,100,5,2000,1,1,50,10,50,500,0,0,,,,,0,0,,0,0,,50,10,50,0,0,,,,,1
1,23,Investing In Innovation,73,Urban Monkey,Beauty/Fashion,Streetwear,,1,1,,0,,2014,Mumbai,Maharashtra,,20000000,25,100,1,10000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,Investing In Innovation,74,Guardian Gears,Manufacturing,Motorcycle Luggage bags,,2,1,1,,,,Hyderabad,Telangana,2500,2100000,50,30,5,600,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,Investing In Innovation,75,Modern Myth,Beauty/Fashion,Bags,,2,1,1,,,2019,Delhi,Delhi,,1400000,,75,5,1500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,A Decade Of Indian Entrepreneurship,76,The Sass Bar,Beauty/Fashion,Gifts Soaps,,1,,1,0,,2021,Mumbai,Maharashtra,,700000,65,40,8,500,1,1,50,35,,143,,,,0,0,,25,17.5,,0,0,,,,,0,0,,25,17.5,,2
1,24,A Decade Of Indian Entrepreneurship,77,KG Agrotech,Hardware,Agricultural Innovations,,2,2,,0,,2014,Malegaon,Maharashtra,,0,,30,10,300,1,1,10,40,20,25,,,,0,0,,0,0,,0,0,,,,,10,40,20,0,0,,1
1,24,A Decade Of Indian Entrepreneurship,78,Nuskha Kitchen,Food,Homemade after delivery Foods,,2,1,1,,,2019,,,,145000,,20,10,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
